TF,Target,Correlation
UNC5C,GPC6,0.49043917972930506
PRG4,WT1,0.4904084237086536
CCDC80,SLC4A4,0.4903992620588277
NTNG1,LINC02006,0.4903376520713615
PTPRB,SHANK3,0.4903222647338461
FGF12,CACNA1C,0.4903009232556546
CCDC80,CDON,0.4902920675913074
LDB3,LINC02248,0.4902753388647892
NTNG1,LRP2,0.49013623116097005
FRAS1,ANXA8,0.4900348305289358
CHRM3,ANXA8,0.4899208262212683
F13A1,SIGLEC1,0.4898571676399887
LRP2,RBFOX1,0.489784948553782
NOSTRIN,PCDH7,0.4897130639283503
EPHA3,EBF2,0.4895291596858834
EMCN,POSTN,0.48926390492198213
EMCN,ANO2,0.4891409655747781
RBM20,TBX5,0.4890356547503825
CDON,SLC24A3,0.4888617384236782
COLGALT2,EPHA3,0.48877579859545106
PDGFC,BNC2,0.4887466205591562
DLGAP2,RBFOX1,0.4886715721027956
KANK4,PFKFB1,0.4885816864021964
KCNJ3,LOC105379003,0.488535978028583
CTNNA3,RBM20,0.48853558624946997
FGF14,CDH19,0.48851120778045154
ZNF385B,MYO18B,0.4884512751736082
ADGRL4,ANO2,0.4884354827254209
